Data Zone,Local Authority Code,local authority name,Income domain 2012 rank,Income domain 2012 rate (%)
S01000401,110,Aberdeenshire,6055,3
S01000402,110,Aberdeenshire,4455,7
S01000403,110,Aberdeenshire,4559,7
S01000404,110,Aberdeenshire,6233,2
S01000405,110,Aberdeenshire,6359,2
S01000406,110,Aberdeenshire,2715,14
S01000407,110,Aberdeenshire,3680,10
S01000408,110,Aberdeenshire,6465,1
S01000409,110,Aberdeenshire,6032,3
S01000410,110,Aberdeenshire,6395,2
S01000411,110,Aberdeenshire,5897,3
S01000412,110,Aberdeenshire,5969,3
S01000413,110,Aberdeenshire,5650,4
S01000414,110,Aberdeenshire,5761,4
S01000415,110,Aberdeenshire,4670,6
S01000416,110,Aberdeenshire,5462,4
S01000417,110,Aberdeenshire,5300,5
S01000418,110,Aberdeenshire,6023,3
S01000419,110,Aberdeenshire,5245,5
S01000420,110,Aberdeenshire,4531,7
S01000421,110,Aberdeenshire,6113,3
S01000422,110,Aberdeenshire,4886,6
S01000423,110,Aberdeenshire,6313,2
S01000424,110,Aberdeenshire,5716,4
S01000425,110,Aberdeenshire,4701,6
S01000426,110,Aberdeenshire,6363,2
S01000427,110,Aberdeenshire,5794,3
S01000428,110,Aberdeenshire,4909,6
S01000429,110,Aberdeenshire,6176,2
S01000430,110,Aberdeenshire,5538,4
S01000431,110,Aberdeenshire,1719,19
S01000432,110,Aberdeenshire,5857,3
S01000433,110,Aberdeenshire,3703,10
S01000434,110,Aberdeenshire,3310,11
S01000435,110,Aberdeenshire,5226,5
S01000436,110,Aberdeenshire,6254,2
S01000437,110,Aberdeenshire,4320,8
S01000438,110,Aberdeenshire,6496,0
S01000439,110,Aberdeenshire,4762,6
S01000440,110,Aberdeenshire,5635,4
S01000441,110,Aberdeenshire,3371,11
S01000442,110,Aberdeenshire,6001,3
S01000443,110,Aberdeenshire,6125,3
S01000444,110,Aberdeenshire,5861,3
S01000445,110,Aberdeenshire,5684,4
S01000446,110,Aberdeenshire,5918,3
S01000447,110,Aberdeenshire,5056,5
S01000448,110,Aberdeenshire,4772,6
S01000449,110,Aberdeenshire,3493,10
S01000450,110,Aberdeenshire,5149,5
S01000451,110,Aberdeenshire,5643,4
S01000452,110,Aberdeenshire,5646,4
S01000453,110,Aberdeenshire,5385,4
S01000454,110,Aberdeenshire,2956,13
S01000455,110,Aberdeenshire,3271,11
S01000456,110,Aberdeenshire,5658,4
S01000457,110,Aberdeenshire,4705,6
S01000458,110,Aberdeenshire,5408,4
S01000459,110,Aberdeenshire,3815,9
S01000460,110,Aberdeenshire,1797,18
S01000461,110,Aberdeenshire,2231,16
S01000462,110,Aberdeenshire,2986,13
S01000463,110,Aberdeenshire,2731,14
S01000464,110,Aberdeenshire,4810,6
S01000465,110,Aberdeenshire,5757,4
S01000466,110,Aberdeenshire,5717,4
S01000467,110,Aberdeenshire,2601,14
S01000468,110,Aberdeenshire,5428,4
S01000469,110,Aberdeenshire,5573,4
S01000470,110,Aberdeenshire,6350,2
S01000471,110,Aberdeenshire,4970,6
S01000472,110,Aberdeenshire,4191,8
S01000473,110,Aberdeenshire,3383,11
S01000474,110,Aberdeenshire,4399,7
S01000475,110,Aberdeenshire,3745,9
S01000476,110,Aberdeenshire,4546,7
S01000477,110,Aberdeenshire,4434,7
S01000478,110,Aberdeenshire,2620,14
S01000479,110,Aberdeenshire,2064,17
S01000480,110,Aberdeenshire,4736,6
S01000481,110,Aberdeenshire,3955,9
S01000482,110,Aberdeenshire,1917,18
S01000483,110,Aberdeenshire,2392,15
S01000484,110,Aberdeenshire,3028,12
S01000485,110,Aberdeenshire,5788,3
S01000486,110,Aberdeenshire,945,25
S01000487,110,Aberdeenshire,2816,13
S01000488,110,Aberdeenshire,2279,16
S01000489,110,Aberdeenshire,1052,24
S01000490,110,Aberdeenshire,6191,2
S01000491,110,Aberdeenshire,1454,21
S01000492,110,Aberdeenshire,2002,17
S01000493,110,Aberdeenshire,4210,8
S01000494,110,Aberdeenshire,2076,17
S01000495,110,Aberdeenshire,4799,6
S01000496,110,Aberdeenshire,6413,1
S01000497,110,Aberdeenshire,4421,7
S01000498,110,Aberdeenshire,5153,5
S01000499,110,Aberdeenshire,4382,7
S01000500,110,Aberdeenshire,1898,18
S01000501,110,Aberdeenshire,3636,10
S01000502,110,Aberdeenshire,4931,6
S01000503,110,Aberdeenshire,4677,6
S01000504,110,Aberdeenshire,3890,9
S01000505,110,Aberdeenshire,4611,7
S01000506,110,Aberdeenshire,5603,4
S01000507,110,Aberdeenshire,3551,10
S01000508,110,Aberdeenshire,4474,7
S01000509,110,Aberdeenshire,4226,8
S01000510,110,Aberdeenshire,3329,11
S01000511,110,Aberdeenshire,4957,6
S01000512,110,Aberdeenshire,5446,4
S01000513,110,Aberdeenshire,3662,10
S01000514,110,Aberdeenshire,4020,9
S01000515,110,Aberdeenshire,5311,5
S01000516,110,Aberdeenshire,4798,6
S01000517,110,Aberdeenshire,3739,9
S01000518,110,Aberdeenshire,3854,9
S01000519,110,Aberdeenshire,5333,5
S01000520,110,Aberdeenshire,4441,7
S01000521,110,Aberdeenshire,2638,14
S01000522,110,Aberdeenshire,4795,6
S01000523,110,Aberdeenshire,2305,16
S01000524,110,Aberdeenshire,3804,9
S01000525,110,Aberdeenshire,4644,6
S01000526,110,Aberdeenshire,4936,6
S01000527,110,Aberdeenshire,5701,4
S01000528,110,Aberdeenshire,4124,8
S01000529,110,Aberdeenshire,3264,11
S01000530,110,Aberdeenshire,4857,6
S01000531,110,Aberdeenshire,3579,10
S01000532,110,Aberdeenshire,3273,11
S01000533,110,Aberdeenshire,3353,11
S01000534,110,Aberdeenshire,2904,13
S01000535,110,Aberdeenshire,3470,11
S01000536,110,Aberdeenshire,4530,7
S01000537,110,Aberdeenshire,4394,7
S01000538,110,Aberdeenshire,2743,14
S01000539,110,Aberdeenshire,2220,16
S01000540,110,Aberdeenshire,2691,14
S01000541,110,Aberdeenshire,2836,13
S01000542,110,Aberdeenshire,2914,13
S01000543,110,Aberdeenshire,3991,9
S01000544,110,Aberdeenshire,2428,15
S01000545,110,Aberdeenshire,2339,16
S01000546,110,Aberdeenshire,2879,13
S01000547,110,Aberdeenshire,3904,9
S01000548,110,Aberdeenshire,3546,10
S01000549,110,Aberdeenshire,5202,5
S01000550,110,Aberdeenshire,6206,2
S01000551,110,Aberdeenshire,3499,10
S01000552,110,Aberdeenshire,6309,2
S01000553,110,Aberdeenshire,4623,7
S01000554,110,Aberdeenshire,1730,19
S01000555,110,Aberdeenshire,3156,12
S01000556,110,Aberdeenshire,2053,17
S01000557,110,Aberdeenshire,3392,11
S01000558,110,Aberdeenshire,4539,7
S01000559,110,Aberdeenshire,2516,15
S01000560,110,Aberdeenshire,2095,17
S01000561,110,Aberdeenshire,2556,15
S01000562,110,Aberdeenshire,1658,19
S01000563,110,Aberdeenshire,1577,20
S01000564,110,Aberdeenshire,605,29
S01000565,110,Aberdeenshire,2386,15
S01000566,110,Aberdeenshire,2412,15
S01000567,110,Aberdeenshire,2456,15
S01000568,110,Aberdeenshire,3453,11
S01000569,120,Angus,4469,7
S01000570,120,Angus,3777,9
S01000571,120,Angus,2784,14
S01000572,120,Angus,5336,5
S01000573,120,Angus,6064,3
S01000574,120,Angus,5733,4
S01000575,120,Angus,4482,7
S01000576,120,Angus,6076,3
S01000577,120,Angus,4074,8
S01000578,120,Angus,4866,6
S01000579,120,Angus,5622,4
S01000580,120,Angus,6305,2
S01000581,120,Angus,5758,4
S01000582,120,Angus,3263,11
S01000583,120,Angus,4672,6
S01000584,120,Angus,2248,16
S01000585,120,Angus,3547,10
S01000586,120,Angus,3408,11
S01000587,120,Angus,3265,11
S01000588,120,Angus,4244,8
S01000589,120,Angus,4417,7
S01000590,120,Angus,4086,8
S01000591,120,Angus,5330,5
S01000592,120,Angus,4200,8
S01000593,120,Angus,5414,4
S01000594,120,Angus,5449,4
S01000595,120,Angus,4453,7
S01000596,120,Angus,5478,4
S01000597,120,Angus,6090,3
S01000598,120,Angus,6159,2
S01000599,120,Angus,4981,6
S01000600,120,Angus,5186,5
S01000601,120,Angus,5397,4
S01000602,120,Angus,3759,9
S01000603,120,Angus,5197,5
S01000604,120,Angus,5718,4
S01000605,120,Angus,4045,8
S01000606,120,Angus,503,30
S01000607,120,Angus,4007,9
S01000608,120,Angus,1059,24
S01000609,120,Angus,1100,24
S01000610,120,Angus,1213,23
S01000611,120,Angus,1335,22
S01000612,120,Angus,1491,21
S01000613,120,Angus,2856,13
S01000614,120,Angus,3847,9
S01000615,120,Angus,829,26
S01000616,120,Angus,5217,5
S01000617,120,Angus,4616,7
S01000618,120,Angus,3489,10
S01000619,120,Angus,4304,8
S01000620,120,Angus,468,31
S01000621,120,Angus,2322,16
S01000622,120,Angus,1201,23
S01000623,120,Angus,1928,18
S01000624,120,Angus,2493,15
S01000625,120,Angus,933,25
S01000626,120,Angus,281,34
S01000627,120,Angus,3294,11
S01000628,120,Angus,1441,21
S01000629,120,Angus,3044,12
S01000630,120,Angus,2153,16
S01000631,120,Angus,1395,21
S01000632,120,Angus,4396,7
S01000633,120,Angus,5575,4
S01000634,120,Angus,1866,18
S01000635,120,Angus,3362,11
S01000636,120,Angus,4584,7
S01000637,120,Angus,4632,7
S01000638,120,Angus,5522,4
S01000639,120,Angus,4428,7
S01000640,120,Angus,3985,9
S01000641,120,Angus,5261,5
S01000642,120,Angus,4601,7
S01000643,120,Angus,4375,7
S01000644,120,Angus,4536,7
S01000645,120,Angus,3980,9
S01000646,120,Angus,5391,4
S01000647,120,Angus,3224,11
S01000648,120,Angus,1397,21
S01000649,120,Angus,4615,7
S01000650,120,Angus,3899,9
S01000651,120,Angus,2318,16
S01000652,120,Angus,3811,9
S01000653,120,Angus,2009,17
S01000654,120,Angus,2356,16
S01000655,120,Angus,866,26
S01000656,120,Angus,1763,19
S01000657,120,Angus,1304,22
S01000658,120,Angus,1388,21
S01000659,120,Angus,4213,8
S01000660,120,Angus,5037,5
S01000661,120,Angus,3328,11
S01000662,120,Angus,4554,7
S01000663,120,Angus,3306,11
S01000664,120,Angus,4529,7
S01000665,120,Angus,3728,10
S01000666,120,Angus,4945,6
S01000667,120,Angus,3237,11
S01000668,120,Angus,1185,23
S01000669,120,Angus,1515,20
S01000670,120,Angus,2936,13
S01000671,120,Angus,3958,9
S01000672,120,Angus,3426,11
S01000673,120,Angus,4825,6
S01000674,120,Angus,4426,7
S01000675,120,Angus,5843,3
S01000676,120,Angus,4157,8
S01000677,120,Angus,2535,15
S01000678,120,Angus,3701,10
S01000679,120,Angus,1425,21
S01000680,120,Angus,1403,21
S01000681,120,Angus,1423,21
S01000682,120,Angus,3311,11
S01000683,120,Angus,3403,11
S01000684,120,Angus,1267,22
S01000685,120,Angus,3644,10
S01000686,120,Angus,1963,18
S01000687,120,Angus,1556,20
S01000688,120,Angus,4063,8
S01000689,120,Angus,3954,9
S01000690,120,Angus,5099,5
S01000691,120,Angus,2799,13
S01000692,120,Angus,1355,22
S01000693,120,Angus,1091,24
S01000694,120,Angus,2685,14
S01000695,120,Angus,3257,11
S01000696,120,Angus,1789,19
S01000697,120,Angus,4679,6
S01000698,120,Angus,2854,13
S01000699,120,Angus,2551,15
S01000700,120,Angus,3166,12
S01000701,120,Angus,5404,4
S01000702,120,Angus,5396,4
S01000703,120,Angus,3075,12
S01000704,120,Angus,5312,5
